club_raw	club_clean
Dortmund	Borussia Dortmund
Dortmund II	Borussia Dortmund II
Duisburg	MSV Duisburg
Freiburg	SC Freiburg
Bochum	VfL Bochum
Hannover	Hannover 96
Köln	1. FC Köln
Frankfurt	Eintracht Frankfurt
Bremen	Werder Bremen
Trier	Eintracht Trier
Worms	Wormatia Worms
Hertha	Hertha BSC
Gladbach	Bor. Mönchengladbach
Wolfsburg	VfL Wolfsburg
K'lautern	1. FC Kaiserslautern
Karlsruhe	Karlsruher SC
Bayern	Bayern München
Osnabrück	VfL Osnabrück
TSV 1860	TSV 1860 München
Münster	Preußen Münster
Nürnberg	1. FC Nürnberg
Stuttgart	VfB Stuttgart
Schalke	FC Schalke 04
Mainz	1. FSV Mainz 05
Leverkusen	Bayer 04 Leverkusen
Dresden	Dynamo Dresden
Wattenscheid	Wattenscheid 09
Heidenheim	FC Heidenheim
Paderborn	SC Paderborn
Kiel	Holstein Kiel
Fürth	Greuther Fürth
Union	Union Berlin
Rostock	Hansa Rostock
Wehen	Wehen Wiesbaden
Ingolstadt	FC Ingolstadt 04
Würzburg	Würzburger Kickers
Wuppertal	Wuppertaler SV
Ulm	SSV Ulm
Verl	SC Verl
Siegen	Sportfreunde Siegen
Sandhausen	SV Sandhausen
Neunkirchen	Borussia Neunkirchen
Mannheim	Waldhof Mannheim
Lübeck	VfB Lübeck
F. Köln	Fortuna Köln
RW Essen	Rot-Weiß Essen
SW Essen	Schwarz-Weiß Essen
Augsburg	FC Augsburg
Bielefeld	Arminia Bielefeld
HSV	Hamburger SV
